graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,235,425,0,True,False,False
0,425,235,0,True,False,False
0,994,467,0,True,False,False
0,467,994,0,True,False,False
0,993,467,0,True,False,False
0,467,993,0,True,False,False
0,1340,467,0,True,False,False
0,467,1340,0,True,False,False
0,686,467,0,True,False,False
0,467,686,0,True,False,False
0,726,353,0,True,False,False
0,353,726,0,True,False,False
0,88,353,0,True,False,False
0,353,88,0,True,False,False
0,550,353,0,True,False,False
0,353,550,0,True,False,False
0,1009,75,0,True,False,False
0,75,1009,0,True,False,False
0,1452,75,0,True,False,False
0,75,1452,0,True,False,False
0,1049,75,0,True,False,False
0,75,1049,0,True,False,False
0,239,75,0,True,False,False
0,75,239,0,True,False,False
0,28,603,0,True,False,False
0,603,28,0,True,False,False
0,603,631,0,True,False,False
0,631,603,0,True,False,False
0,91,603,0,True,False,False
0,603,91,0,True,False,False
0,1193,603,0,True,False,False
0,603,1193,0,True,False,False
0,28,631,0,True,False,False
0,631,28,0,True,False,False
0,1193,631,0,True,False,False
0,631,1193,0,True,False,False
0,936,775,0,True,False,False
0,775,936,0,True,False,False
0,438,775,0,True,False,False
0,775,438,0,True,False,False
0,972,775,0,True,False,False
0,775,972,0,True,False,False
0,1024,775,0,True,False,False
0,775,1024,0,True,False,False
0,1141,392,0,True,False,False
0,392,1141,0,True,False,False
0,904,392,0,True,False,False
0,392,904,0,True,False,False
0,594,392,0,True,False,False
0,392,594,0,True,False,False
0,1117,392,0,True,False,False
0,392,1117,0,True,False,False
0,1211,1230,0,True,False,False
0,1230,1211,0,True,False,False
0,660,1230,0,True,False,False
0,1230,660,0,True,False,False
0,1576,1230,0,True,False,False
0,1230,1576,0,True,False,False
0,420,1230,0,True,False,False
0,1230,420,0,True,False,False
0,887,182,0,True,False,False
0,182,887,0,True,False,False
0,1340,182,0,True,False,False
0,182,1340,0,True,False,False
0,334,182,0,True,False,False
0,182,334,0,True,False,False
0,686,182,0,True,False,False
0,182,686,0,True,False,False
0,726,77,0,True,False,False
0,77,726,0,True,False,False
0,470,77,0,True,False,False
0,77,470,0,True,False,False
0,88,77,0,True,False,False
0,77,88,0,True,False,False
0,949,77,0,True,False,False
0,77,949,0,True,False,False
0,438,693,0,True,False,False
0,693,438,0,True,False,False
0,917,693,0,True,False,False
0,693,917,0,True,False,False
0,972,693,0,True,False,False
0,693,972,0,True,False,False
0,1264,693,0,True,False,False
0,693,1264,0,True,False,False
0,438,1473,0,True,False,False
0,1473,438,0,True,False,False
0,917,1473,0,True,False,False
0,1473,917,0,True,False,False
0,1063,1473,0,True,False,False
0,1473,1063,0,True,False,False
0,1573,1473,0,True,False,False
0,1473,1573,0,True,False,False
0,1356,620,0,True,False,False
0,620,1356,0,True,False,False
0,974,620,0,True,False,False
0,620,974,0,True,False,False
0,617,620,0,True,False,False
0,620,617,0,True,False,False
0,844,620,0,True,False,False
0,620,844,0,True,False,False
0,1383,199,0,True,False,False
